Los Angeles, California, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1944-2000
Missing: -99
Date,Value,Anomaly
200001,58.7,3.3
200002,58.0,1.5
200003,58.2,1.1
200004,61.2,1.7
200005,64.5,2.6
200006,68.2,3.2
200007,68.9,0.6
200008,71.0,1.5
200009,69.9,1.2
200010,63.9,-1.6
200011,58.4,-2.1
200012,58.7,2.3
200101,55.2,-0.2
200102,54.4,-2.1
200103,58.1,1.0
200104,57.3,-2.2
200105,64.1,2.2
200106,67.6,2.6
200107,68.1,-0.2
200108,68.6,-0.9
200109,68.1,-0.6
200110,65.4,-0.1
200111,60.9,0.4
200112,55.9,-0.5
200201,55.7,0.3
200202,59.1,2.6
200203,58.3,1.2
200204,59.2,-0.3
200205,62.1,0.2
200206,65.9,0.9
200207,68.7,0.4
200208,67.8,-1.7
200209,67.8,-0.9
200210,63.0,-2.5
200211,64.0,3.5
200212,56.6,0.2
200301,62.3,6.9
200302,58.3,1.8
200303,59.4,2.3
200304,58.6,-0.9
200305,61.3,-0.6
200306,65.4,0.4
200307,71.7,3.4
200308,71.3,1.8
200309,68.1,-0.6
200310,67.7,2.2
200311,59.8,-0.7
200312,57.0,0.6
200401,57.1,1.7
200402,55.8,-0.7
200403,61.3,4.2
200404,62.3,2.8
200405,66.9,5.0
200406,67.0,2.0
200407,69.5,1.2
200408,69.5,0.0
200409,72.8,4.1
200410,63.9,-1.6
200411,59.2,-1.3
200412,57.5,1.1
200501,57.7,2.3
200502,58.4,1.9
200503,58.8,1.7
200504,60.2,0.7
200505,64.2,2.3
200506,65.2,0.2
200507,68.9,0.6
200508,69.9,0.4
200509,67.8,-0.9
200510,65.2,-0.3
200511,64.1,3.6
200512,59.3,2.9
200601,58.4,3.0
200602,59.2,2.7
200603,55.0,-2.1
200604,59.6,0.1
200605,64.7,2.8
200606,69.4,4.4
200607,74.5,6.2
200608,71.0,1.5
200609,69.1,0.4
200610,66.1,0.6
200611,63.8,3.3
200612,57.5,1.1
200701,54.7,-0.7
200702,57.7,1.2
200703,60.2,3.1
200704,60.3,0.8
200705,62.3,0.4
200706,65.0,0.0
200707,70.1,1.8
200708,71.6,2.1
200709,68.6,-0.1
200710,66.5,1.0
200711,61.7,1.2
200712,56.1,-0.3
200801,56.1,0.7
200802,57.0,0.5
200803,60.3,3.2
200804,62.9,3.4
200805,64.3,2.4
200806,68.7,3.7
200807,70.1,1.8
200808,71.4,1.9
200809,69.4,0.7
200810,69.4,3.9
200811,65.3,4.8
200812,55.9,-0.5
200901,60.9,5.5
200902,56.9,0.4
200903,58.2,1.1
200904,61.3,1.8
200905,64.9,3.0
200906,65.6,0.6
200907,69.4,1.1
200908,69.7,0.2
200909,71.8,3.1
200910,66.4,0.9
200911,62.5,2.0
200912,56.5,0.1
201001,58.7,3.3
201002,57.7,1.2
201003,60.0,2.9
201004,58.7,-0.8
201005,61.2,-0.7
201006,64.9,-0.1
201007,66.0,-2.3
201008,66.1,-3.4
201009,67.1,-1.6
201010,65.8,0.3
201011,61.7,1.2
201012,58.4,2.0
201101,59.4,4.0
201102,55.6,-0.9
201103,58.2,1.1
201104,62.0,2.5
201105,62.7,0.8
201106,64.0,-1.0
201107,68.6,0.3
201108,67.9,-1.6
201109,67.2,-1.5
201110,64.7,-0.8
201111,59.4,-1.1
201112,55.3,-1.1
201201,59.6,4.2
201202,57.3,0.8
201203,57.4,0.3
201204,60.0,0.5
201205,63.3,1.4
201206,65.6,0.6
201207,66.9,-1.4
201208,72.5,3.0
201209,72.5,3.8
201210,69.2,3.7
201211,62.9,2.4
201212,56.8,0.4
201301,56.7,1.3
201302,56.4,-0.1
201303,59.4,2.3
201304,62.4,2.9
201305,66.8,4.9
201306,68.2,3.2
201307,69.2,0.9
201308,68.9,-0.6
201309,70.4,1.7
201310,66.0,0.5
201311,64.3,3.8
201312,59.3,2.9
201401,61.6,6.2
201402,60.0,3.5
201403,62.6,5.5
201404,62.9,3.4
201405,69.2,7.3
201406,67.8,2.8
201407,72.1,3.8
201408,71.5,2.0
201409,73.2,4.5
201410,70.2,4.7
201411,65.2,4.7
201412,58.4,2.0
201501,60.1,4.7
201502,61.3,4.8
201503,64.7,7.6
201504,62.5,3.0
201505,61.3,-0.6
201506,66.6,1.6
201507,70.3,2.0
201508,72.8,3.3
201509,75.1,6.4
201510,74.0,8.5
201511,62.2,1.7
201512,57.3,0.9
201601,57.0,1.6
201602,63.0,6.5
201603,60.5,3.4
201604,63.5,4.0
201605,62.8,0.9
201606,66.9,1.9
201607,71.7,3.4
201608,70.6,1.1
201609,71.1,2.4
201610,68.3,2.8
201611,64.8,4.3
201612,58.1,1.7
201701,55.8,0.4
201702,57.2,0.7
201703,61.0,3.9
201704,63.6,4.1
201705,63.3,1.4
201706,66.7,1.7
201707,71.7,3.4
201708,72.0,2.5
201709,71.5,2.8
201710,71.5,6.0
201711,65.5,5.0
201712,61.4,5.0
201801,61.9,6.5
201802,58.4,1.9
201803,58.7,1.6
201804,62.0,2.5
201805,62.9,1.0
201806,67.1,2.1
201807,74.5,6.2
201808,73.9,4.4
201809,69.4,0.7
201810,68.2,2.7
201811,65.2,4.7
201812,59.0,2.6
201901,57.9,2.5
201902,53.8,-2.7
201903,59.4,2.3
201904,62.7,3.2
201905,61.2,-0.7
201906,66.6,1.6
201907,70.3,2.0
201908,70.6,1.1
201909,71.5,2.8
201910,69.1,3.6
201911,63.1,2.6
201912,58.0,1.6
202001,58.5,3.1
202002,59.5,3.0
202003,57.9,0.8
202004,62.3,2.8
202005,66.4,4.5
202006,68.3,3.3
202007,69.2,0.9
202008,73.1,3.6
202009,72.8,4.1
202010,71.0,5.5
202011,62.7,2.2
202012,60.3,3.9
202101,58.4,3.0
202102,58.7,2.2
202103,57.1,0.0
202104,62.1,2.6
202105,64.1,2.2
